,Rank,Title_Length,Age,Points,Comment_Num
0,1,44,0.0,76,26
1,2,78,4.0,179,78
2,3,61,2.0,179,56
3,4,26,0.0,55,15
4,5,75,0.0,25,0
5,6,76,5.0,101,20
6,7,42,0.1,4,0
7,8,58,7.0,152,16
8,9,34,4.0,56,4
9,10,61,0.0,33,19
10,11,41,13.0,344,197
11,12,73,8.0,129,97
12,13,78,2.0,106,73
13,14,45,5.0,46,6
14,15,51,0.0,8,0
15,16,46,4.0,25,0
16,17,64,5.0,254,261
17,18,74,14.0,151,40
18,19,48,2.0,8,2
19,20,33,20.0,1164,328
20,21,63,0.0,13,5
21,22,41,9.0,255,146
22,23,29,2.0,5,0
23,24,68,8.0,49,22
24,25,29,3.0,47,42
25,26,20,3.0,10,0
26,27,60,8.0,47,16
27,28,44,7.0,67,43
28,29,68,3.0,58,25
29,30,75,2.0,91,95
30,31,75,2.0,90,94
31,32,41,12.0,92,20
32,33,64,9.0,34,5
33,34,61,11.0,68,20
34,35,75,0.43333333333333335,4,0
35,36,67,19.0,469,263
36,37,70,12.0,58,7
37,38,36,2.0,15,6
38,39,30,0.7166666666666667,11,4
39,40,75,24.0,590,206
40,41,48,13.0,58,35
41,42,74,0.0,7,0
42,43,29,23.0,3138,944
43,44,77,11.0,20,0
44,45,62,0.0,5,0
45,46,47,24.0,987,154
46,47,80,15.0,152,51
47,48,48,0.9166666666666666,3,0
48,49,79,2.0,43,50
49,50,78,7.0,193,181
50,51,64,16.0,114,75
51,52,75,9.0,9,0
52,53,58,6.0,8,0
53,54,27,9.0,0,0
54,55,26,21.0,243,75
55,56,42,15.0,36,11
56,57,31,24.0,1133,78
57,58,39,20.0,159,105
58,59,37,8.0,16,4
59,60,20,2.0,8,0
60,61,76,17.0,22,0
61,62,66,9.0,72,75
62,63,75,7.0,5,0
63,64,56,14.0,63,49
64,65,38,7.0,9,0
65,66,30,16.0,24,10
66,67,31,23.0,152,30
67,68,39,10.0,11,0
68,69,37,18.0,79,17
69,70,27,19.0,372,100
70,71,59,18.0,21,9
71,72,26,17.0,77,23
72,73,36,18.0,24,10
73,74,64,16.0,55,3
74,75,25,16.0,56,4
75,76,67,3.0,6,0
76,77,35,20.0,143,90
77,78,35,22.0,115,27
78,79,71,22.0,104,75
79,80,63,18.0,61,54
80,81,43,8.0,5,2
81,82,50,24.0,43,8
82,83,75,24.0,2038,863
83,84,17,24.0,32,0
84,85,33,21.0,31,24
85,86,74,17.0,45,3
86,87,32,24.0,163,114
87,88,46,24.0,100,21
88,89,73,22.0,141,52
89,90,40,24.0,311,157
90,91,50,9.0,28,7
91,92,32,8.0,15,3
92,93,73,11.0,38,11
93,94,43,17.0,61,30
94,95,52,24.0,140,23
95,96,66,9.0,4,2
96,97,82,23.0,19,2
97,98,36,24.0,163,33
98,99,72,24.0,112,10
99,100,72,19.0,49,12
100,101,58,24.0,73,18
101,102,42,20.0,45,5
102,103,76,20.0,12,8
103,104,53,0.0,674,92
104,105,57,24.0,80,90
105,106,57,20.0,82,45
106,107,76,24.0,97,28
107,108,61,13.0,13,0
108,109,73,13.0,5,2
109,110,49,24.0,86,79
110,111,52,24.0,143,56
111,112,72,24.0,624,269
112,113,23,24.0,102,22
113,114,43,0.0,331,178
114,115,26,24.0,44,17
115,116,51,22.0,42,0
116,117,70,24.0,381,172
117,118,77,24.0,108,2
118,119,58,0.0,333,100
119,120,30,24.0,144,51
120,121,79,0.0,225,80
121,122,37,19.0,9,3
122,123,65,24.0,42,13
123,124,71,0.0,364,154
124,125,67,6.0,8,0
125,126,49,24.0,222,122
126,127,45,20.0,132,57
127,128,55,24.0,279,170
128,129,67,24.0,123,32
129,130,45,13.0,3,0
130,131,54,24.0,159,119
131,132,37,20.0,29,4
132,133,40,19.0,7,0
133,134,51,24.0,123,20
134,135,25,22.0,10,0
135,136,37,24.0,56,5
136,137,54,0.0,450,157
137,138,68,5.0,4,0
138,139,80,13.0,49,53
139,140,12,24.0,10,2
140,141,28,24.0,12,0
141,142,79,0.0,488,271
142,143,69,0.0,366,206
143,144,50,24.0,192,128
144,145,38,5.0,4,0
145,146,20,24.0,260,231
146,147,36,0.0,384,147
147,148,56,5.0,3,0
148,149,21,24.0,123,24
149,150,35,5.0,3,0
