K,Dimension,Number of Points,Time,Distribution
1,1,50,4.6734e-06,Uniform
2,1,50,4.5301e-06,Uniform
3,1,50,4.4929e-06,Uniform
4,1,50,4.4778e-06,Uniform
5,1,50,4.4675e-06,Uniform
6,1,50,4.4659e-06,Uniform
7,1,50,4.4696e-06,Uniform
8,1,50,4.4555e-06,Uniform
9,1,50,4.4744e-06,Uniform
10,1,50,6.3668e-06,Uniform
11,1,50,6.0506e-06,Uniform
1,1,100,6.7227e-06,Uniform
2,1,100,6.74e-06,Uniform
3,1,100,6.7422e-06,Uniform
4,1,100,6.7237e-06,Uniform
5,1,100,6.7263e-06,Uniform
6,1,100,1.15589e-05,Uniform
7,1,100,9.8029e-06,Uniform
8,1,100,9.2733e-06,Uniform
9,1,100,9.3841e-06,Uniform
10,1,100,9.7941e-06,Uniform
11,1,100,9.5669e-06,Uniform
1,1,200,1.50073e-05,Uniform
2,1,200,1.51255e-05,Uniform
3,1,200,1.42303e-05,Uniform
4,1,200,1.26054e-05,Uniform
5,1,200,1.42114e-05,Uniform
6,1,200,1.45976e-05,Uniform
7,1,200,1.49977e-05,Uniform
8,1,200,1.45009e-05,Uniform
9,1,200,1.45608e-05,Uniform
10,1,200,1.43738e-05,Uniform
11,1,200,1.46721e-05,Uniform
1,1,400,2.63869e-05,Uniform
2,1,400,2.66674e-05,Uniform
3,1,400,2.59061e-05,Uniform
4,1,400,2.66238e-05,Uniform
5,1,400,2.58203e-05,Uniform
6,1,400,2.68465e-05,Uniform
7,1,400,2.64444e-05,Uniform
8,1,400,2.62999e-05,Uniform
9,1,400,2.71834e-05,Uniform
10,1,400,2.83524e-05,Uniform
11,1,400,2.75451e-05,Uniform
1,1,800,4.62358e-05,Uniform
2,1,800,5.35367e-05,Uniform
3,1,800,4.10087e-05,Uniform
4,1,800,4.80034e-05,Uniform
5,1,800,3.69874e-05,Uniform
6,1,800,4.4658e-05,Uniform
7,1,800,4.48333e-05,Uniform
8,1,800,4.49514e-05,Uniform
9,1,800,3.44672e-05,Uniform
10,1,800,3.43056e-05,Uniform
11,1,800,3.43393e-05,Uniform
1,1,1600,8.06884e-05,Uniform
2,1,1600,6.53257e-05,Uniform
3,1,1600,6.20162e-05,Uniform
4,1,1600,6.00028e-05,Uniform
5,1,1600,7.73867e-05,Uniform
6,1,1600,6.30199e-05,Uniform
7,1,1600,8.11543e-05,Uniform
8,1,1600,8.27328e-05,Uniform
9,1,1600,8.3449e-05,Uniform
10,1,1600,8.41334e-05,Uniform
11,1,1600,8.39038e-05,Uniform
1,1,3200,0.000155789,Uniform
2,1,3200,0.000140127,Uniform
3,1,3200,0.000140277,Uniform
4,1,3200,0.000138198,Uniform
5,1,3200,0.000140118,Uniform
6,1,3200,0.000138548,Uniform
7,1,3200,0.000148767,Uniform
8,1,3200,0.000138268,Uniform
9,1,3200,0.000138563,Uniform
10,1,3200,0.00014306,Uniform
11,1,3200,0.000138434,Uniform
1,1,6400,0.000287043,Uniform
2,1,6400,0.000268215,Uniform
3,1,6400,0.000262307,Uniform
4,1,6400,0.000274176,Uniform
5,1,6400,0.000263556,Uniform
6,1,6400,0.000271248,Uniform
7,1,6400,0.000298032,Uniform
8,1,6400,0.000267849,Uniform
9,1,6400,0.000266167,Uniform
10,1,6400,0.000339484,Uniform
11,1,6400,0.000423862,Uniform
1,1,12800,0.000651285,Uniform
2,1,12800,0.00154994,Uniform
3,1,12800,0.000661258,Uniform
4,1,12800,0.00156529,Uniform
5,1,12800,0.000626653,Uniform
6,1,12800,0.000584432,Uniform
7,1,12800,0.00451067,Uniform
8,1,12800,0.00208652,Uniform
9,1,12800,0.000757364,Uniform
10,1,12800,0.00273398,Uniform
11,1,12800,0.000622376,Uniform
1,1,25600,0.00121721,Uniform
2,1,25600,0.0024847,Uniform
3,1,25600,0.00257335,Uniform
4,1,25600,0.00134531,Uniform
5,1,25600,0.00190111,Uniform
6,1,25600,0.00430882,Uniform
7,1,25600,0.00562015,Uniform
8,1,25600,0.00177452,Uniform
9,1,25600,0.00247206,Uniform
10,1,25600,0.00148619,Uniform
11,1,25600,0.00275532,Uniform
1,1,51200,0.00266333,Uniform
2,1,51200,0.00268267,Uniform
3,1,51200,0.00444329,Uniform
4,1,51200,0.00352882,Uniform
5,1,51200,0.00269064,Uniform
6,1,51200,0.00396282,Uniform
7,1,51200,0.00317381,Uniform
8,1,51200,0.00291609,Uniform
9,1,51200,0.00522658,Uniform
10,1,51200,0.00307019,Uniform
11,1,51200,0.0031945,Uniform
1,1,102400,0.00592584,Uniform
2,1,102400,0.00698925,Uniform
3,1,102400,0.00466185,Uniform
4,1,102400,0.00681825,Uniform
5,1,102400,0.0071782,Uniform
6,1,102400,0.00665927,Uniform
7,1,102400,0.00533176,Uniform
8,1,102400,0.0060253,Uniform
9,1,102400,0.00703447,Uniform
10,1,102400,0.00876266,Uniform
11,1,102400,0.00577563,Uniform
1,1,204800,0.0123335,Uniform
2,1,204800,0.0172447,Uniform
3,1,204800,0.0155821,Uniform
4,1,204800,0.00935174,Uniform
5,1,204800,0.00944024,Uniform
6,1,204800,0.0139894,Uniform
7,1,204800,0.0194759,Uniform
8,1,204800,0.0118146,Uniform
9,1,204800,0.00951622,Uniform
10,1,204800,0.0177229,Uniform
11,1,204800,0.0124437,Uniform
1,1,409600,0.0352,Uniform
2,1,409600,0.0375012,Uniform
3,1,409600,0.0221301,Uniform
4,1,409600,0.0296285,Uniform
5,1,409600,0.0227388,Uniform
6,1,409600,0.0186098,Uniform
7,1,409600,0.0173748,Uniform
8,1,409600,0.0222024,Uniform
9,1,409600,0.0188684,Uniform
10,1,409600,0.0141699,Uniform
11,1,409600,0.0141007,Uniform
1,1,819200,0.0377072,Uniform
2,1,819200,0.032639,Uniform
3,1,819200,0.064898,Uniform
4,1,819200,0.0341632,Uniform
5,1,819200,0.0316988,Uniform
6,1,819200,0.0311982,Uniform
7,1,819200,0.0311373,Uniform
8,1,819200,0.0311293,Uniform
9,1,819200,0.0310926,Uniform
10,1,819200,0.0337825,Uniform
11,1,819200,0.0311125,Uniform
1,1,50,5.8021e-06,Gaussian
2,1,50,5.6968e-06,Gaussian
3,1,50,5.6554e-06,Gaussian
4,1,50,5.6571e-06,Gaussian
5,1,50,5.6515e-06,Gaussian
6,1,50,5.647e-06,Gaussian
7,1,50,5.6634e-06,Gaussian
8,1,50,5.6338e-06,Gaussian
9,1,50,5.6601e-06,Gaussian
10,1,50,5.6481e-06,Gaussian
11,1,50,5.6531e-06,Gaussian
1,1,100,1.09208e-05,Gaussian
2,1,100,7.6474e-06,Gaussian
3,1,100,7.623e-06,Gaussian
4,1,100,7.5872e-06,Gaussian
5,1,100,7.5962e-06,Gaussian
6,1,100,7.5772e-06,Gaussian
7,1,100,7.6117e-06,Gaussian
8,1,100,7.5696e-06,Gaussian
9,1,100,7.5976e-06,Gaussian
10,1,100,7.5917e-06,Gaussian
11,1,100,7.606e-06,Gaussian
1,1,200,1.68637e-05,Gaussian
2,1,200,1.67503e-05,Gaussian
3,1,200,1.67367e-05,Gaussian
4,1,200,1.67209e-05,Gaussian
5,1,200,1.66902e-05,Gaussian
6,1,200,1.67473e-05,Gaussian
7,1,200,1.67278e-05,Gaussian
8,1,200,1.67388e-05,Gaussian
9,1,200,1.67401e-05,Gaussian
10,1,200,1.67343e-05,Gaussian
11,1,200,1.67193e-05,Gaussian
1,1,400,2.24961e-05,Gaussian
2,1,400,2.24128e-05,Gaussian
3,1,400,2.23957e-05,Gaussian
4,1,400,2.24257e-05,Gaussian
5,1,400,2.24152e-05,Gaussian
6,1,400,2.23891e-05,Gaussian
7,1,400,2.24487e-05,Gaussian
8,1,400,2.23872e-05,Gaussian
9,1,400,2.23822e-05,Gaussian
10,1,400,2.24508e-05,Gaussian
11,1,400,2.23878e-05,Gaussian
1,1,800,5.56343e-05,Gaussian
2,1,800,5.678e-05,Gaussian
3,1,800,5.59373e-05,Gaussian
4,1,800,5.67422e-05,Gaussian
5,1,800,5.54526e-05,Gaussian
6,1,800,5.56061e-05,Gaussian
7,1,800,5.54979e-05,Gaussian
8,1,800,5.54877e-05,Gaussian
9,1,800,5.54643e-05,Gaussian
10,1,800,5.5499e-05,Gaussian
11,1,800,5.54994e-05,Gaussian
1,1,1600,0.000116314,Gaussian
2,1,1600,0.000116195,Gaussian
3,1,1600,0.000116045,Gaussian
4,1,1600,0.000116441,Gaussian
5,1,1600,0.000116287,Gaussian
