K,Dimension,Number of Points,Time,Distribution
1,1,50,2.2431e-06,Uniform
2,1,50,4.3099e-06,Uniform
3,1,50,8.6607e-06,Uniform
4,1,50,1.43869e-05,Uniform
5,1,50,1.80619e-05,Uniform
6,1,50,1.86647e-05,Uniform
7,1,50,1.88047e-05,Uniform
8,1,50,1.97548e-05,Uniform
9,1,50,2.0889e-05,Uniform
10,1,50,2.12176e-05,Uniform
11,1,50,2.11587e-05,Uniform
1,1,100,2.5463e-06,Uniform
2,1,100,5.2233e-06,Uniform
3,1,100,9.7169e-06,Uniform
4,1,100,1.624e-05,Uniform
5,1,100,2.19041e-05,Uniform
6,1,100,2.92069e-05,Uniform
7,1,100,2.4452e-05,Uniform
8,1,100,2.6417e-05,Uniform
9,1,100,2.74109e-05,Uniform
10,1,100,2.73625e-05,Uniform
11,1,100,2.77382e-05,Uniform
1,1,200,2.626e-06,Uniform
2,1,200,6.3117e-06,Uniform
3,1,200,1.4099e-05,Uniform
4,1,200,2.7082e-05,Uniform
5,1,200,3.86468e-05,Uniform
6,1,200,4.45578e-05,Uniform
7,1,200,4.8201e-05,Uniform
8,1,200,6.13776e-05,Uniform
9,1,200,5.34691e-05,Uniform
10,1,200,5.35204e-05,Uniform
11,1,200,5.98138e-05,Uniform
1,1,400,3.9121e-06,Uniform
2,1,400,8.5344e-06,Uniform
3,1,400,2.30141e-05,Uniform
4,1,400,5.44332e-05,Uniform
5,1,400,8.82474e-05,Uniform
6,1,400,0.000110879,Uniform
7,1,400,0.000126426,Uniform
8,1,400,0.000172751,Uniform
9,1,400,0.000146188,Uniform
10,1,400,0.00015595,Uniform
11,1,400,0.000177449,Uniform
1,1,800,4.5717e-06,Uniform
2,1,800,1.60143e-05,Uniform
3,1,800,5.1049e-05,Uniform
4,1,800,0.000292578,Uniform
5,1,800,0.00033013,Uniform
6,1,800,0.000338957,Uniform
7,1,800,0.000440092,Uniform
8,1,800,0.000612564,Uniform
9,1,800,0.000557347,Uniform
10,1,800,0.000500138,Uniform
11,1,800,0.000391552,Uniform
1,1,1600,3.7826e-06,Uniform
2,1,1600,1.88907e-05,Uniform
3,1,1600,3.0181e-05,Uniform
4,1,1600,8.54687e-05,Uniform
5,1,1600,0.000166126,Uniform
6,1,1600,0.000240004,Uniform
