K,Dimension,Number of Points,Time,Distribution
1,2,50,1.82e-07,Uniform
2,2,50,1.284e-07,Uniform
3,2,50,1.254e-07,Uniform
4,2,50,1.26e-07,Uniform
5,2,50,1.261e-07,Uniform
6,2,50,1.265e-07,Uniform
7,2,50,1.268e-07,Uniform
8,2,50,1.249e-07,Uniform
9,2,50,1.253e-07,Uniform
10,2,50,1.249e-07,Uniform
11,2,50,1.245e-07,Uniform
1,2,100,6.3444e-06,Uniform
2,2,100,7.8468e-06,Uniform
3,2,100,9.4126e-06,Uniform
4,2,100,1.19399e-05,Uniform
5,2,100,1.33311e-05,Uniform
6,2,100,1.52784e-05,Uniform
7,2,100,1.57401e-05,Uniform
8,2,100,1.69148e-05,Uniform
9,2,100,1.89061e-05,Uniform
10,2,100,1.96211e-05,Uniform
11,2,100,1.94397e-05,Uniform
1,2,200,1.382e-07,Uniform
2,2,200,1.274e-07,Uniform
3,2,200,1.263e-07,Uniform
4,2,200,1.269e-07,Uniform
5,2,200,1.26e-07,Uniform
6,2,200,1.262e-07,Uniform
7,2,200,1.255e-07,Uniform
8,2,200,1.274e-07,Uniform
9,2,200,1.273e-07,Uniform
10,2,200,1.27e-07,Uniform
11,2,200,1.267e-07,Uniform
1,2,400,7.8111e-06,Uniform
2,2,400,9.5541e-06,Uniform
3,2,400,1.16227e-05,Uniform
4,2,400,2.39443e-05,Uniform
5,2,400,1.39676e-05,Uniform
6,2,400,1.45458e-05,Uniform
7,2,400,1.42345e-05,Uniform
8,2,400,1.46332e-05,Uniform
9,2,400,1.98331e-05,Uniform
10,2,400,1.97417e-05,Uniform
11,2,400,1.81128e-05,Uniform
1,2,800,3.42731e-05,Uniform
2,2,800,1.91547e-05,Uniform
3,2,800,4.61161e-05,Uniform
4,2,800,5.46242e-05,Uniform
5,2,800,5.98001e-05,Uniform
6,2,800,4.44258e-05,Uniform
7,2,800,4.58352e-05,Uniform
8,2,800,4.95824e-05,Uniform
9,2,800,8.28949e-05,Uniform
10,2,800,6.79351e-05,Uniform
11,2,800,7.39388e-05,Uniform
1,2,1600,2.672e-07,Uniform
2,2,1600,1.451e-07,Uniform
3,2,1600,1.492e-07,Uniform
4,2,1600,1.335e-07,Uniform
5,2,1600,1.276e-07,Uniform
6,2,1600,1.327e-07,Uniform
7,2,1600,1.878e-07,Uniform
8,2,1600,1.945e-07,Uniform
